respnum,ccgid,runid,intdate,day,gate,barea,strata,peak,method,saq,airline,destination,flight,airline_code,dest_code,destgeo,destmark,arrtime,deptime,howlong,q2purp1,q2purp2,q2purp3,q3getto1,q3getto2,q3getto3,q3park,q4bags,q4store,q4food,q4wifi,q5timesflown,q5firsttime,q6longuse,q7art,q7food,q7store,q7sign,q7walkway,q7screens,q7infodown,q7infoup,q7wifi,q7roads,q7park,q7airtrain,q7ltparking,q7rental,q7all,q8suggest1,q8suggest2,q8suggest3,q8suggest4,q8suggest5,q9boarding,q9airtrain,q9rental,q9food,q9restroom,q9all,q9com1,q9com2,q9com3,q10safe,q10com1,q10com2,q10com3,q11tsapre,q12precheckrate,q12com1,q12com2,q12com3,q13county,q13getrate,q14find,q14passthru,q15problem,q15com1,q15com2,q15com3,netpro,q17live,q18city,q18state,q18zip,q18country,home,q20age,q21gender,q22income,q23fly,q24sjc,q24oak,lang,weight,promoter,netpro_type
1784,2222,394,25,5,4,A,3,2,1,2,SUN COUNTRY,MINNEAPOLIS-ST. PAUL,396,26,39,3,4,2:45 PM,18:00:00,195,3,,,6,,,,1,2,2,1,4,1,2,6,3,3,2,4,4,5,5,5,6,6,3,6,6,3,22,43.0,,,,2,3,6,3,1,2,0,,,5,1,,,2,,,,,6,2,5,5,1,73.0,,,7,1,MENLO PARK,CA,94015.0,US,2,3,2,2,2,2,2,1,0.723115625,1,2
1785,2577,407,24,4,12,A,1,1,1,2,JETBLUE,LAS VEGAS,2288,20,30,1,4,6:30 AM,08:59:00,149,2,,,2,,,,2,2,1,2,2,1,4,4,4,3,4,5,5,5,5,4,5,5,5,5,5,5,151,,,,,5,5,5,5,5,5,1,,,5,0,,,1,5,0,,,2,5,5,0,2,,,,10,1,FREMONT,CA,94539.0,US,3,6,2,2,2,1,2,1,0.3778995412844037,1,2
1786,2223,394,25,5,4,A,3,2,1,2,SUN COUNTRY,MINNEAPOLIS-ST. PAUL,396,26,39,3,4,4:30 PM,18:00:00,90,1,,,5,,,,1,2,2,2,3,1,4,4,3,3,5,5,5,6,6,6,6,6,6,6,6,4,0,,,,,5,5,5,5,5,5,0,,,4,0,,,2,,,,,0,5,5,5,2,,,,10,3,MINNEAPOLIS,MN,55369.0,US,11,5,2,4,2,2,2,1,0.723115625,1,2
1787,2224,394,25,5,4,A,3,2,1,2,SUN COUNTRY,MINNEAPOLIS-ST. PAUL,396,26,39,3,4,4:30 PM,18:00:00,90,1,,,9,,,,2,1,2,2,3,1,4,3,5,4,4,4,4,6,6,4,4,6,5,6,4,4,1,,,,,4,4,4,4,4,4,0,,,4,0,,,1,5,0,,,2,4,4,5,2,,,,9,3,MINNEAPOLIS,MN,55409.0,US,11,6,1,3,2,2,2,1,0.723115625,1,2
1788,2578,407,24,4,12,A,1,1,1,2,JETBLUE,LAS VEGAS,2288,20,30,1,4,7:30 AM,08:59:00,89,2,,,8,,,,2,2,2,2,5,1,4,4,4,4,4,4,5,5,5,6,4,4,5,4,5,5,58,,,,,4,5,5,5,3,4,0,,,4,16,,,1,5,1,,,5,4,5,5,2,,,,9,1,SAN FRANCISCO,CA,94112.0,US,1,3,1,3,1,2,2,1,0.3778995412844037,1,2
1789,2225,394,25,5,4,A,3,2,1,1,SUN COUNTRY,MINNEAPOLIS-ST. PAUL,396,26,39,3,4,15:00:00,18:00:00,180,3,,,13,,,,1,1,2,2,2,1,2,5,3,5,3,5,5,6,3,6,6,6,6,6,6,4,53,62.0,,,,5,6,6,5,5,5,0,,,5,1,16.0,,1,5,1,,,9,5,5,5,1,1.0,,,10,3,BENSON,MN,56215.0,US,11,7,2,1,2,2,2,1,0.723115625,1,2
1790,2579,407,24,4,12,A,1,1,1,2,JETBLUE,LAS VEGAS,2288,20,30,1,4,7:30 AM,08:59:00,89,3,,,5,,,,2,1,2,2,3,1,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,73,,,,,5,5,4,5,5,5,0,,,5,8,,,2,,,,,5,3,4,4,1,31.0,,,9,1,SAN FRANCISCO,CA,94117.0,US,1,3,1,4,2,2,1,1,0.3778995412844037,1,2
1791,2226,394,25,5,4,A,3,2,1,1,SUN COUNTRY,MINNEAPOLIS-ST. PAUL,396,26,39,3,4,4:15 PM,18:00:00,105,3,,,6,,,,2,2,2,1,5,1,2,5,4,6,5,5,5,6,6,4,6,6,5,6,6,4,102,,,,,4,5,6,4,4,4,0,,,5,16,,,2,,,,,1,5,4,5,2,,,,8,1,OAKLAND,CA,94618.0,US,3,3,2,2,3,2,1,1,0.723115625,1,2
1792,2580,407,24,4,12,A,1,1,1,2,JETBLUE,LAS VEGAS,2288,20,30,1,4,7:00:00,08:59:00,119,0,,,6,,,,1,2,1,1,2,1,1,4,4,4,4,4,4,4,4,4,4,6,4,6,6,4,20,,,,,5,5,5,5,5,5,0,,,4,6,,,3,,,,,1,3,4,4,2,,,,7,3,YUEYANG,,,CHINA,16,2,2,1,2,2,2,3,0.3778995412844037,1,2
1793,2227,394,25,5,4,A,3,2,1,1,SUN COUNTRY,MINNEAPOLIS-ST. PAUL,396,26,39,3,4,2:40 PM,18:00:00,200,10,,,6,,,,2,2,1,2,1,1,4,3,4,4,4,3,3,6,6,4,4,6,5,6,6,4,1,102.0,,,,5,5,6,5,5,5,0,,,5,4,,,2,,,,,0,5,4,5,2,,,,10,3,MINNEAPOLIS,MN,55414.0,US,11,4,1,1,2,1,2,1,0.723115625,1,2
